code,timestamps,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47,stage
2469,2020-11-20,5.8,5.69,5.82,5.46,5.78,125489.0,70622100.0,5.51,5.33,5.273,5.26,5.27,66.38,0.08,0.02,0.06,三维化学,化学原料和化学制品制造业,主板,5.564999999999998,5.371250000000005,5.299999999999994,5.244375000000003,5.264893617021278,0
2469,2020-11-23,5.66,5.75,5.86,5.61,5.69,94423.0,54173200.0,5.6,5.38,5.2935,5.28,5.27,67.98,0.11,0.04,0.07,三维化学,化学原料和化学制品制造业,主板,5.657499999999998,5.445000000000006,5.350833333333327,5.289375000000003,5.274893617021278,0
2469,2020-11-24,5.75,5.9,6.05,5.73,5.75,125112.0,74030700.0,5.71,5.46,5.318,5.3,5.28,71.63,0.13,0.05,0.08,三维化学,化学原料和化学制品制造业,主板,5.779999999999999,5.5437500000000055,5.410833333333327,5.340625000000004,5.282127659574472,0
2469,2020-11-25,5.97,5.8,6.02,5.79,5.9,98774.0,57985300.0,5.78,5.53,5.3305,5.32,5.29,66.21,0.14,0.07,0.07,三维化学,化学原料和化学制品制造业,主板,5.7849999999999975,5.627500000000005,5.461666666666661,5.383750000000004,5.287446808510642,0
2469,2020-11-26,5.79,5.68,5.83,5.63,5.8,86614.1,49487600.0,5.76,5.58,5.351999999999999,5.34,5.3,60.33,0.14,0.09,0.05,三维化学,化学原料和化学制品制造业,主板,5.782499999999998,5.6737500000000045,5.508333333333327,5.420625000000002,5.290000000000003,0
2469,2020-11-27,5.73,5.94,5.96,5.58,5.68,113902.0,66508300.0,5.81,5.66,5.397499999999999,5.36,5.31,67.14,0.16,0.1,0.06,三维化学,化学原料和化学制品制造业,主板,5.829999999999997,5.743750000000004,5.573333333333326,5.470625000000003,5.299148936170215,0
2469,2020-11-30,5.87,6.17,6.23,5.86,5.94,149866.0,91627400.0,5.9,5.75,5.452000000000001,5.39,5.32,71.77,0.19,0.12,0.07,三维化学,化学原料和化学制品制造业,主板,5.897499999999999,5.8387500000000045,5.661666666666659,5.532500000000002,5.31744680851064,0
2469,2020-12-01,6.16,6.14,6.22,6.06,6.17,98544.6,60418000.0,5.95,5.83,5.5035,5.42,5.34,70.38,0.22,0.14,0.08,三维化学,化学原料和化学制品制造业,主板,5.982499999999999,5.8837500000000045,5.745833333333327,5.591875000000003,5.333617021276599,0
2469,2020-12-02,6.1,6.18,6.39,6.06,6.14,108896.0,67984600.0,6.02,5.9,5.558,5.45,5.35,71.18,0.23,0.16,0.07,三维化学,化学原料和化学制品制造业,主板,6.107499999999999,5.945000000000005,5.818333333333325,5.658125000000003,5.352765957446811,0
2469,2020-12-03,6.14,6.01,6.19,6.0,6.18,75594.0,45886100.0,6.09,5.93,5.6015,5.48,5.37,63.33,0.23,0.17,0.06,三维化学,化学原料和化学制品制造业,主板,6.124999999999999,5.9775000000000045,5.870833333333327,5.711250000000002,5.366595744680853,0
2469,2020-12-04,6.07,6.05,6.16,5.95,6.01,50079.3,30356400.0,6.11,5.96,5.6450000000000005,5.5,5.38,64.33,0.22,0.18,0.04,三维化学,化学原料和化学制品制造业,主板,6.094999999999999,5.996250000000003,5.92416666666666,5.770000000000002,5.382978723404259,0
