timestamps,code,open,close,high,low,vol,name,industry,block,MA4,MA8,MA12,MA16,MA20,MA47,stage
2024-11-13,21,22.26,21.94,22.68,21.47,921840.0,深科技,计算机、通信和其他电子设备制造业,主板,22.275,21.441249999999982,21.635833333333306,20.89375,20.08299999999998,16.80127659574469,0
2024-11-14,21,21.69,21.0,22.2,20.88,877168.0,深科技,计算机、通信和其他电子设备制造业,主板,22.205,21.54124999999998,21.670833333333302,21.110625,20.344499999999982,16.95595744680852,0
2024-11-15,21,20.8,20.35,21.49,20.32,774622.0,深科技,计算机、通信和其他电子设备制造业,主板,21.44,21.49374999999998,21.479999999999983,21.30375,20.530999999999985,17.097659574468093,0
2024-11-18,21,20.72,19.93,20.87,19.7,798069.0,深科技,计算机、通信和其他电子设备制造业,主板,20.805,21.40374999999998,21.17249999999998,21.3625,20.651499999999984,17.227872340425538,0
2024-11-19,21,19.82,20.32,20.36,19.52,718156.0,深科技,计算机、通信和其他电子设备制造业,主板,20.4,21.33749999999998,21.09416666666665,21.326875,20.794999999999984,17.372340425531927,0
2024-11-20,21,20.2,20.33,20.58,19.93,642991.0,深科技,计算机、通信和其他电子设备制造业,主板,20.2325,21.218749999999982,21.104999999999983,21.31125,20.934999999999985,17.517659574468095,0
2024-11-21,21,20.22,21.15,21.77,20.02,1089290.0,深科技,计算机、通信和其他电子设备制造业,主板,20.4325,20.936249999999983,21.13999999999998,21.218125,21.129499999999982,17.687872340425542,0
2024-11-22,21,20.96,19.72,20.99,19.62,835930.0,深科技,计算机、通信和其他电子设备制造业,主板,20.379999999999995,20.592499999999983,21.062499999999982,20.974375,21.165999999999983,17.828723404255328,0
2024-11-25,21,19.5,19.14,19.85,18.7,681330.0,深科技,计算机、通信和其他电子设备制造业,主板,20.084999999999997,20.242499999999986,20.91999999999998,20.841875,21.078499999999984,17.951489361702137,0
2024-11-26,21,19.0,18.93,19.33,18.93,403734.0,深科技,计算机、通信和其他电子设备制造业,主板,19.735,19.983749999999983,20.724166666666644,20.762500000000006,20.995999999999988,18.07319148936171,0
2024-11-27,21,18.76,19.37,19.39,18.48,514016.0,深科技,计算机、通信和其他电子设备制造业,主板,19.29,19.861249999999988,20.38749999999997,20.6775,20.83249999999999,18.20659574468085,0
2024-11-28,21,19.7,20.11,20.93,19.56,1092430.0,深科技,计算机、通信和其他电子设备制造业,主板,19.3875,19.883749999999985,20.19083333333331,20.643750000000004,20.65699999999999,18.360425531914903,0
2024-11-29,21,19.75,20.16,20.45,19.42,876596.0,深科技,计算机、通信和其他电子设备制造业,主板,19.6425,19.863749999999985,20.042499999999976,20.600625000000004,20.60199999999999,18.513829787234048,0
2024-12-02,21,20.18,20.69,20.88,20.0,827963.0,深科技,计算机、通信和其他电子设备制造业,主板,20.0825,19.908749999999984,20.01666666666664,20.56375000000001,20.62649999999999,18.674893617021283,0
2024-12-03,21,20.73,20.23,20.85,20.02,603616.0,深科技,计算机、通信和其他电子设备制造业,主板,20.2975,19.79374999999998,20.006666666666643,20.36500000000001,20.601499999999987,18.824893617021285,0
2024-12-04,21,20.47,20.01,20.65,19.9,561344.0,深科技,计算机、通信和其他电子设备制造业,主板,20.2725,19.82999999999998,20.013333333333307,20.211250000000007,20.569499999999987,18.970638297872352,0
2024-12-05,21,19.8,20.08,20.2,19.71,385684.0,深科技,计算机、通信和其他电子设备制造业,主板,20.2525,19.947499999999984,19.993333333333307,20.09500000000001,20.530999999999988,19.1072340425532,0
2024-12-06,21,19.98,20.2,20.45,19.76,489380.0,深科技,计算机、通信和其他电子设备制造业,主板,20.13,20.10624999999998,19.982499999999977,20.045000000000005,20.476999999999983,19.2472340425532,0
