timestamps,code,open,close,high,low,ycp,vol,amount,MA5,MA10,MA20,MA30,MA60,MSI,DIF,DEA,MACD_Hist,name,industry,block,MA4,MA8,MA12,MA16,MA47,stage
2024-11-11,1309,86.8,90.4,90.73,85.8,86.69,99307.9,885980000.0,85.7,84.29,84.73499999999997,82.97,75.97,63.22,2.25,2.34,-0.09,德明利,计算机、通信和其他电子设备制造业,主板,86.28249999999987,84.1425,84.96833333333342,85.36749999999981,77.25999999999995,0
2024-11-12,1309,90.4,87.85,90.4,86.93,90.4,75058.7,663246000.0,86.6,84.51,85.01649999999997,83.68,76.25,58.12,2.3,2.33,-0.03,德明利,计算机、通信和其他电子设备制造业,主板,87.62749999999987,84.73125,84.88083333333341,85.4793749999998,77.61957446808506,0
2024-11-13,1309,87.0,88.2,88.33,85.21,87.85,52148.1,452695000.0,87.74,84.92,85.35499999999995,84.41,76.54,58.61,2.34,2.33,0.01,德明利,计算机、通信和其他电子设备制造业,主板,88.28499999999985,85.81875000000002,84.9108333333334,85.56312499999983,77.96021276595741,0
2024-11-14,1309,87.8,84.03,87.8,83.81,88.2,53497.5,458818000.0,87.43,85.01,85.54549999999995,84.88,76.76,50.91,2.01,2.27,-0.26,德明利,计算机、通信和其他电子设备制造业,主板,87.61999999999985,86.0725,84.78000000000007,85.4781249999998,78.14489361702124,0
2024-11-15,1309,83.1,81.28,84.68,81.22,84.03,39244.8,326125000.0,86.35,85.19,85.36199999999995,85.08,76.91,46.57,1.52,2.12,-0.6,德明利,计算机、通信和其他电子设备制造业,主板,85.33999999999986,85.81125,84.54166666666677,85.0612499999998,78.38404255319145,0
2024-11-18,1309,81.29,80.29,82.66,79.02,81.28,40770.7,329461000.0,84.33,85.02,85.07349999999995,85.0,77.07,45.07,1.03,1.9,-0.87,德明利,计算机、通信和其他电子设备制造业,主板,83.44999999999987,85.53875,84.30416666666676,84.52312499999981,78.59063829787229,0
2024-11-19,1309,80.43,82.32,82.32,79.55,80.29,34946.5,282286000.0,83.22,84.91,84.84649999999995,84.71,77.24,48.7,0.8,1.68,-0.88,德明利,计算机、通信和其他电子设备制造业,主板,81.97999999999988,85.1325,84.53916666666676,84.17812499999981,78.90276595744676,0
2024-11-20,1309,82.73,81.71,82.73,81.28,82.32,31228.6,255630000.0,81.93,84.83,84.66249999999995,84.33,77.39,47.68,0.56,1.46,-0.9,德明利,计算机、通信和其他电子设备制造业,主板,81.39999999999986,84.50999999999998,84.5150000000001,83.9349999999998,79.1902127659574,0
2024-11-21,1309,81.71,80.7,81.71,80.0,81.71,27476.3,222328000.0,81.26,84.35,84.29999999999995,84.14,77.53,45.97,0.29,1.22,-0.93,德明利,计算机、通信和其他电子设备制造业,主板,81.25499999999985,83.2975,84.29250000000009,83.71999999999981,79.50659574468081,0
2024-11-22,1309,80.61,76.53,80.93,76.45,80.7,43627.8,343567000.0,80.31,83.33,83.68149999999993,84.04,77.61,39.63,-0.26,0.93,-1.19,德明利,计算机、通信和其他电子设备制造业,主板,80.31499999999984,81.8825,83.7975000000001,83.3068749999998,79.72914893617019,0
2024-11-25,1309,76.0,74.92,76.99,73.71,76.53,32610.0,244890000.0,79.24,81.78,83.03549999999996,83.75,77.67,37.48,-0.82,0.58,-1.4,德明利,计算机、通信和其他电子设备制造业,主板,78.46499999999985,80.22249999999998,82.91000000000012,83.02062499999981,79.89872340425529,0
