stock_code,start,end,duration_days,duration_type,threshold_used,end_condition,feature_vector
002119,2019-05-27,2019-05-31,5,long,4,结束时下降的均线: [4],"0.6315000000000002,0.49375,0.35216666666666685,0.38087499999999996,0.30680000000000013,0.11719148936170214,1.4514999999999998,0.8310000000000006,0.6645000000000006,0.7311999999999994,1.073608510638298"
002119,2019-09-11,2019-09-17,4,short,4,结束时下降的均线: [4],"0.17062500000000025,0.13875000000000037,0.1827083333333328,0.13296874999999986,0.0728749999999998,0.08500000000000041,0.521875000000001,0.46604166666666735,0.41723958333333266,0.11234374999999996,0.5309175531914891"
002119,2020-01-13,2020-01-16,4,short,4,结束时下降的均线: [4],"0.22750000000000004,0.12656249999999947,0.07916666666666616,0.11000000000000032,0.05762500000000026,0.02755319148936186,0.3815625000000007,0.1853125000000002,0.15421874999999963,0.11553125000000009,0.6703962765957452"
002119,2020-02-19,2020-02-24,4,short,4,结束时下降的均线: [4],"0.18062500000000004,0.1965625000000002,0.2102083333333331,0.09453124999999973,0.09174999999999933,0.07686170212765919,0.6896874999999989,0.5440624999999986,0.31843750000000126,0.1171875,1.1194281914893622"
002119,2021-05-31,2021-06-10,9,long,4,"结束时下降的均线: [4, 8]","0.11277777777777784,0.12138888888888882,0.10740740740740742,0.09604166666666675,0.08133333333333345,0.05810874704491731,0.2573611111111117,0.25624999999999987,0.2069444444444447,0.16888888888888864,0.41581560283687957"
002119,2021-06-25,2021-07-05,7,long,4,结束时下降的均线: [4],"0.5014285714285717,0.38642857142857145,0.2730952380952384,0.19892857142857118,0.17964285714285694,0.10200607902735546,1.0023214285714286,0.5458928571428571,0.2837499999999998,0.1951071428571434,1.1989392097264437"
002119,2021-07-09,2021-07-15,5,long,4,结束时下降的均线: [4],"0.6720000000000006,0.35700000000000076,0.3814999999999998,0.36987500000000006,0.3152000000000001,0.16612765957446846,1.1114999999999995,0.5833333333333343,0.9185416666666661,0.7096250000000012,2.2236276595744657"
002119,2022-06-23,2022-06-30,6,long,4,结束时下降的均线: [4],"0.20666666666666642,0.15041666666666723,0.10805555555555557,0.07322916666666668,0.07924999999999975,0.012943262411347392,0.41416666666666657,0.22208333333333355,0.09614583333333293,0.09443750000000002,0.45870744680851033"
002119,2022-08-04,2022-08-17,10,long,4,结束时下降的均线: [4],"0.5065000000000002,0.49649999999999983,0.370833333333333,0.28550000000000003,0.2257500000000002,0.10804255319148907,1.0764999999999998,0.8199166666666663,0.48483333333333345,0.2997000000000005,0.639257446808511"
002119,2023-03-10,2023-03-17,6,long,4,结束时下降的均线: [4],"0.34750000000000014,0.24229166666666688,0.21430555555555544,0.15677083333333344,0.11233333333333355,0.07166666666666632,0.5735416666666658,0.47895833333333354,0.3061458333333335,0.14718749999999967,0.6065336879432625"
002119,2023-07-19,2023-07-25,5,long,4,结束时下降的均线: [4],"0.19700000000000023,0.1907499999999999,0.1328333333333333,0.11250000000000035,0.08879999999999981,0.03663829787234078,0.5609999999999996,0.3550000000000004,0.18662499999999974,0.16877499999999976,0.12515319148936258"
002469,2019-04-02,2019-04-10,6,long,4,结束时下降的均线: [4],"0.03625000000000004,0.030416666666666686,0.019027777777777644,0.019895833333333297,0.01466666666666668,0.016560283687943194,0.08687500000000019,0.03576388888888863,0.03767361111111134,0.026104166666666522,0.3197624113475177"
002469,2020-05-07,2020-05-12,4,short,4,结束时下降的均线: [4],"0.06125000000000003,0.06937499999999996,0.030208333333333615,0.03125000000000022,0.030000000000000027,0.016968085106382924,0.2828124999999997,0.1088541666666667,0.029583333333333517,0.06487500000000002,0.14505851063829822"
002469,2020-07-21,2020-07-24,4,short,4,结束时下降的均线: [4],"0.2918750000000001,0.140625,0.1020833333333333,0.08796874999999993,0.07224999999999993,0.024042553191489402,0.4206249999999996,0.12895833333333395,0.12401041666666623,0.10215624999999995,0.14101861702127705"
002469,2020-11-27,2020-12-03,5,long,4,结束时下降的均线: [4],"0.05899999999999998,0.04674999999999994,0.05950000000000007,0.04812499999999993,0.04079999999999995,0.01348936170212749,0.11074999999999999,0.14375000000000018,0.1411249999999999,0.09037499999999987,0.16858510638297872"
002469,2021-02-22,2021-03-03,8,long,4,结束时下降的均线: [4],"0.10968750000000005,0.08546874999999987,0.0653125,0.059609374999999964,0.05293749999999997,0.02390957446808517,0.2109374999999999,0.13604166666666673,0.11263020833333348,0.09695312499999986,0.32875664893617007"
002469,2021-09-08,2021-09-13,4,short,4,"结束时下降的均线: [4, 8, 12]","0.04125000000000001,0.026250000000000107,0.03000000000000025,0.026718750000000124,0.01175000000000015,0.018457446808510802,0.08062500000000017,0.05395833333333311,0.08854166666666674,0.02874999999999961,0.33089095744680885"
002469,2021-12-16,2021-12-27,8,long,4,结束时下降的均线: [4],"0.044062500000000004,0.03359374999999998,0.023645833333333477,0.028984375000000062,0.027687499999999976,0.007340425531914829,0.08046874999999987,0.04515625000000001,0.05625000000000013,0.06431249999999988,0.2001888297872343"
002469,2022-07-18,2022-07-21,4,short,4,结束时下降的均线: [4],"0.04062499999999991,0.026250000000000107,0.018333333333333535,0.013593750000000071,0.013000000000000123,0.014361702127659637,0.11312500000000014,0.02645833333333303,0.0327604166666664,0.016406250000000178,0.23214095744680852"
002469,2022-07-29,2022-08-04,5,long,4,结束时下降的均线: [4],"0.040000000000000036,0.025500000000000078,0.02050000000000036,0.0276250000000001,0.018699999999999762,0.01612765957446811,0.08474999999999966,0.0264166666666668,0.06145833333333357,0.04777500000000003,0.22686595744680815"
002469,2022-08-12,2022-08-24,9,long,4,结束时下降的均线: [4],"0.30666666666666675,0.2063888888888888,0.1442592592592593,0.1157638888888889,0.09522222222222215,0.04971631205673748,0.5088888888888893,0.24592592592592588,0.14740740740740746,0.10933333333333344,0.4099219858156029"
002469,2023-02-09,2023-02-14,4,short,4,"结束时下降的均线: [4, 47]","0.036250000000000115,0.015312500000000062,0.025416666666666643,0.019375000000000142,0.021250000000000213,0.0017553191489361186,0.05281249999999971,0.05156250000000018,0.06250000000000022,0.042874999999999774,0.09036968085106456"
002469,2023-11-15,2023-11-23,7,long,4,结束时下降的均线: [4],"0.009642857142857128,0.014464285714285754,0.010238095238095315,0.015803571428571393,0.02771428571428571,0.003161094224924023,0.0369642857142861,0.030892857142857087,0.02946428571428556,0.07375000000000005,0.11202887537993915"
003042,2021-12-29,2022-01-04,4,short,4,"结束时下降的均线: [4, 8]","0.18374999999999897,0.10218749999999943,0.10208333333333286,0.0809375000000001,0.05025000000000013,0.05170212765957505,0.3040624999999997,0.24552083333333208,0.20010416666666764,0.12206249999999841,0.6358031914893623"
